Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,Marker
AIM/CGE,SSP1-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29596.084,31258.099,35206.496,38940.713,40131.397,39232.701,37871.865,35581.749,33613.212,32016.155,30603.957,FALSE
AIM/CGE,SSP2-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29596.084,32494.789,39854.844,46944.982,52928.7,56939.432,58994.533,61391.424,63901.584,67041.407,69902.561,FALSE
AIM/CGE,SSP3-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29596.084,32637.746,41088.257,49158.915,55239.448,60206.474,64222.706,68480.648,72728.153,77572.247,82558.844,TRUE
AIM/CGE,SSP4-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29596.084,32324.104,39107.438,44890.53,46716.577,44294.751,40810.583,38129.221,37034.529,36536.068,35812.336,FALSE
AIM/CGE,SSP5-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29596.084,32416.03,39721.501,50346.909,62127.94,71892.203,80505.487,89102.354,97235.075,105773,114339,FALSE
GCAM4,SSP1-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,32646.98,38560.867,44533.416,48470.578,50052.533,50373.656,49428.045,45505.279,41266.524,36663.131,FALSE
GCAM4,SSP2-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,32646.977,41090.744,49756.254,55895.142,60916.606,66138.079,70463.871,72381.865,74203.64,75997.054,FALSE
GCAM4,SSP3-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,32646.976,41732.401,50543.002,55919.391,60000.307,64366.29,68558.103,71981.045,76148.222,81352.857,FALSE
GCAM4,SSP4-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29385.721,32646.989,40417.488,47694.335,51591.229,53078.259,53691.96,52929.922,49420.81,46575.217,44329.322,TRUE
GCAM4,SSP5-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,,32646.98,42300.17,57046.106,72163.635,84325.953,94630.03,102069.887,105243.124,106703.286,105861.17,FALSE
IMAGE,SSP1-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29394.248,31981.484,36892.236,39680.275,41860.776,42668.61,43038.298,40936.403,35332.481,30633.36,27049.004,TRUE
IMAGE,SSP2-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29393.363,32110.274,38265.565,43193.519,46735.443,50944.298,56186.291,60140.4,63528.853,67952.504,73019.286,FALSE
IMAGE,SSP3-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29405.724,32206.145,39380.963,44859.249,49327.014,53998.957,57913.142,61516.848,65052.723,69231.02,75119.377,FALSE
IMAGE,SSP4-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29406.688,32091.882,36742.68,42112.603,43303.595,44829.073,47581.702,47793.737,45404.594,44909.839,45152.05,FALSE
IMAGE,SSP5-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29393.437,32482.984,40527.946,52064.887,66409.539,80325.68,94129.725,106221.709,111593.321,113374.564,114164.554,FALSE
MESSAGE-GLOBIOM,SSP1-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,30823.209,33105.77,35591.384,39237.528,42265,45273.504,48765.942,50397.467,50308.223,50771.234,50855.263,FALSE
MESSAGE-GLOBIOM,SSP2-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,30874.046,33133.194,37148.025,42507.302,47740.715,53614.471,59467.088,65089.405,74067.978,81276.948,86165.768,TRUE
MESSAGE-GLOBIOM,SSP3-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,30911.301,33219.655,46038.631,57149.463,66135.846,72806.994,81129.151,89304.835,101205.567,114203.008,128806.877,FALSE
REMIND-MAGPIE,SSP1-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29550,31690,34510,39530,44050,45760,44740,41530,36690,31020,26480,FALSE
REMIND-MAGPIE,SSP2-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29550,32120,39600,46260,52330,58860,64700,69680,73010,70180,65360,FALSE
REMIND-MAGPIE,SSP5-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29550,32200,39550,51160,65840,82130,101200,117700,129600,130900,127600,TRUE
WITCH-GLOBIOM,SSP1-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,27888.711,31966.721,38792.691,42589.307,47318.761,47108.377,47026.294,46164.277,43927.281,40502.913,32471.082,FALSE
WITCH-GLOBIOM,SSP2-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,27888.711,31966.721,41406.276,50236.276,56900.412,62201.831,66791.888,71828.458,75942.423,78688.334,74089.513,FALSE
WITCH-GLOBIOM,SSP3-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,27888.711,31966.721,45708.058,56485.43,62344.498,65914.805,68077.804,72607.015,76269.175,80837.868,84699.943,FALSE
WITCH-GLOBIOM,SSP4-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,27888.711,31966.721,40523.772,45667.345,49713.285,49585.557,49447.636,49752.001,48295.572,43428.098,34430.828,FALSE
WITCH-GLOBIOM,SSP5-Baseline,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,27888.711,31966.721,41743.797,54810.291,71649.196,87441.364,99597.625,109260.618,116255.042,118695.568,114922.712,FALSE
